,fb-comments-epochs,fb-comments-tpe,house-epochs,house-tpe,santander-epochs,santander-tpe,churn-epochs,churn-tpe,california-epochs,california-tpe,otto-epochs,otto-tpe,adult-epochs,adult-tpe,covtype-epochs,covtype-tpe,gesture-epochs,gesture-tpe,higgs-small-epochs,higgs-small-tpe
p-FR,104.0000,2.0134,65.0000,0.3792,18.0000,6.1405,27.0000,0.0772,84.0000,0.1706,79.0000,0.7721,76.0000,1.1065,101.0000,10.7697,33.0000,0.1318,40.0000,0.9472
p-FT,74.0000,2.0599,62.0000,0.3832,18.0000,6.1325,28.0000,0.0786,99.0000,0.1697,47.0000,0.7771,57.0000,1.1183,55.0000,10.8714,29.0000,0.1345,74.0000,0.9437
t-FR,96.0000,2.3450,58.0000,0.4008,18.0000,7.4719,25.0000,0.0800,79.0000,0.1789,95.0000,0.6808,75.0000,1.1577,98.0000,10.1494,31.0000,0.1515,40.0000,0.9866
t-FT,95.0000,2.3900,48.0000,0.3952,18.0000,7.5026,31.0000,0.0804,93.0000,0.1776,54.0000,0.6691,84.0000,1.1526,65.0000,10.3516,29.0000,0.1528,75.0000,0.9833
l-FR,91.0000,2.5819,72.0000,0.4076,18.0000,8.9523,24.0000,0.0795,83.0000,0.1791,75.0000,1.1691,83.0000,1.1371,109.0000,13.9552,32.0000,0.1640,40.0000,0.9956
l-FT,84.0000,2.5888,54.0000,0.4070,18.0000,8.9667,28.0000,0.0785,84.0000,0.1763,51.0000,1.1654,67.0000,1.1558,48.0000,13.9864,27.0000,0.1611,75.0000,0.9843
default,113.0000,1.5661,63.0000,0.3490,20.0000,4.8289,38.0000,0.0649,94.0000,0.1436,89.0000,0.5082,62.0000,1.0655,100.0000,8.9331,31.0000,0.1142,54.0000,0.8207
t-LRLR-a,49.0000,3.8096,41.0000,0.4899,24.0000,9.2232,28.0000,0.1139,65.0000,0.2511,29.0000,1.8129,37.0000,1.3134,115.0000,16.3703,27.0000,0.2020,48.0000,1.3280
t-LRLR-s,84.0000,4.9393,142.0000,0.7023,83.0000,12.0151,67.0000,0.1798,107.0000,0.3776,83.0000,2.3336,52.0000,1.9241,147.0000,23.3420,57.0000,0.2976,36.0000,2.1407
t-LTLR-a,57.0000,3.9308,45.0000,0.5072,23.0000,9.4676,26.0000,0.1180,50.0000,0.2589,28.0000,1.8576,30.0000,1.3618,80.0000,17.0262,28.0000,0.2131,46.0000,1.3762
t-LTLR-s,67.0000,3.8418,86.0000,0.4930,42.0000,9.2205,37.0000,0.1157,81.0000,0.2506,72.0000,1.8085,45.0000,1.3446,99.0000,16.4135,50.0000,0.2057,42.0000,1.3501
p-LRLR-a,64.0000,2.7132,47.0000,0.4672,27.0000,6.7220,27.0000,0.1151,65.0000,0.2492,37.0000,0.9817,37.0000,1.3004,101.0000,13.2402,33.0000,0.1695,56.0000,1.3239
p-LRLR-s,126.0000,2.6364,141.0000,0.4533,87.0000,6.5598,67.0000,0.1108,90.0000,0.2418,90.0000,0.9620,50.0000,1.2880,129.0000,12.6698,41.0000,0.1631,23.0000,1.2917
p-LR-a,82.0000,2.1292,53.0000,0.4019,26.0000,6.0124,44.0000,0.0835,79.0000,0.1881,30.0000,0.7933,44.0000,1.1642,181.0000,11.1893,54.0000,0.1374,116.0000,1.0291
p-LR-s,105.0000,2.1310,106.0000,0.3973,93.0000,6.0275,85.0000,0.0844,117.0000,0.1849,216.0000,0.7901,56.0000,1.1642,207.0000,11.2826,78.0000,0.1374,44.0000,1.0160
p-LTLR-a,56.0000,2.6972,46.0000,0.4778,26.0000,6.7378,26.0000,0.1151,51.0000,0.2517,33.0000,0.9910,34.0000,1.3241,74.0000,12.9944,28.0000,0.1724,63.0000,1.3371
p-LTLR-s,104.0000,3.2698,106.0000,0.4643,99.0000,7.3815,50.0000,0.1360,97.0000,0.3061,74.0000,0.9731,45.0000,1.3000,122.0000,16.5915,41.0000,0.1695,50.0000,1.2971
p-LT-a,72.0000,2.1525,35.0000,0.4060,22.0000,6.0850,22.0000,0.0857,74.0000,0.1846,94.0000,0.7957,38.0000,1.1661,46.0000,11.1531,61.0000,0.1398,30.0000,1.0215
p-LT-s,116.0000,2.1260,78.0000,0.4021,41.0000,6.0531,79.0000,0.0837,89.0000,0.1848,240.0000,0.7999,51.0000,1.1677,124.0000,12.5797,109.0000,0.1372,32.0000,1.0072
t-LR-a,108.0000,2.3695,54.0000,0.4004,51.0000,6.8412,39.0000,0.0852,87.0000,0.1899,36.0000,0.6945,89.0000,1.1538,160.0000,10.3539,77.0000,0.1485,34.0000,1.0248
t-LR-s,149.0000,2.3775,104.0000,0.3980,98.0000,6.9062,51.0000,0.0864,116.0000,0.1901,207.0000,0.6936,63.0000,1.1641,164.0000,10.3425,62.0000,0.1525,24.0000,1.0137
t-LT-a,70.0000,2.3736,35.0000,0.4054,22.0000,6.8734,21.0000,0.0841,80.0000,0.1851,109.0000,0.6864,51.0000,1.1474,224.0000,10.2475,66.0000,0.1488,37.0000,0.9955
