embedding-model,CA-dim,CA-MSE-mean,CA-MSE-std,OT-dim,OT-AUC-mean,OT-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,AD-dim,AD-AUC-mean,AD-AUC-std,CH-dim,CH-AUC-mean,CH-AUC-std,FB-dim,FB-MSE-mean,FB-MSE-std,HO-dim,HO-MSE-mean,HO-MSE-std,CO-dim,CO-AUC-mean,CO-AUC-std,GE-dim,GE-AUC-mean,GE-AUC-std,SA-dim,SA-AUC-mean,SA-AUC-std
default,0,0.0682,0.0032,0,0.9541,0.0003,0,0.7392,0.0085,0,0.8972,0.0038,0,0.8568,0.0082,0,0.0115,0.0006,0,0.0483,0.0018,0,0.9953,0.0004,0,0.7954,0.0112,0,0.8575,0.0041
ctrl_p_relu,30,0.0575,0.0025,30,0.9608,0.0018,30,0.7296,0.0058,30,0.9027,0.0029,30,0.8544,0.0085,30,0.0115,0.0004,30,0.0483,0.0017,30,0.9957,0.0004,30,0.7932,0.0128,30,0.852,0.0034
ctrl_p_tanh,30,0.0578,0.0017,30,0.9632,0.0025,30,0.7584,0.0042,30,0.9029,0.004,30,0.859,0.0083,30,0.0117,0.0007,30,0.0486,0.0025,30,0.9925,0.0007,30,0.7947,0.0092,30,0.8549,0.0036
ctrl_lr_relu,78,0.0576,0.0016,74,0.9614,0.0029,77,0.7286,0.0023,70,0.9042,0.0035,91,0.855,0.0076,77,0.0115,0.0005,77,0.0481,0.0028,100,0.9953,0.0007,114,0.7895,0.0095,95,0.8552,0.0031
ctrl_lr_tanh,78,0.0618,0.0021,74,0.9643,0.0016,77,0.7489,0.0081,70,0.9032,0.0035,91,0.8553,0.0099,77,0.0113,0.0005,77,0.0493,0.0013,100,0.9913,0.0008,114,0.7924,0.0165,95,0.855,0.0042
ctrl_tlr_relu,69,0.0587,0.0014,15,0.9633,0.002,55,0.7321,0.0087,114,0.9024,0.0059,82,0.8556,0.0063,57,0.0115,0.0003,41,0.0485,0.0018,11,0.9958,0.0007,76,0.7891,0.013,59,0.8521,0.004
ctrl_tlr_tanh,69,0.06,0.0011,15,0.9643,0.0012,55,0.7555,0.0054,114,0.9051,0.003,82,0.8593,0.0072,57,0.0112,0.0004,41,0.0495,0.0015,11,0.9942,0.0007,76,0.7923,0.0058,59,0.8551,0.0037
emb_p_relu_alpha,30,0.0637,0.0094,30,0.9606,0.0008,30,0.7132,0.1095,30,0.9099,0.0029,30,0.8519,0.0058,30,0.0108,0.0003,30,0.052,0.0015,30,0.9967,0.0004,30,0.7745,0.0081,30,0.8815,0.0043
emb_p_tanh_alpha,30,0.0497,0.0021,30,0.9589,0.0021,30,0.7619,0.0113,30,0.911,0.0023,30,0.849,0.0077,30,0.0098,0.0004,30,0.0526,0.0047,30,0.9839,0.0046,30,0.8052,0.0068,30,0.8926,0.0031
emb_lr_relu_alpha,78,0.1526,0.1122,74,0.9624,0.0013,77,0.5429,0.0603,70,0.9027,0.0064,91,0.845,0.0075,77,0.011,0.0005,77,0.0508,0.0013,100,0.9958,0.0008,114,0.7714,0.0109,95,0.8848,0.0036
