,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,24.7979,65.0000,0.3792,0.0075
ctrl_30p_tanh,23.7635,62.0000,0.3832,0.0078
ctrl_41tlr_relu,23.6341,58.0000,0.4008,0.0078
ctrl_41tlr_tanh,19.3017,48.0000,0.3952,0.0077
ctrl_77lr_relu,29.5358,72.0000,0.4076,0.0079
ctrl_77lr_tanh,22.2998,54.0000,0.4070,0.0079
default,22.1479,63.0000,0.3490,0.0070
emb_101tlrlr_relu_M_relu_alpha,20.3072,41.0000,0.4899,0.0119
emb_101tlrlr_relu_M_relu_standard,99.8688,142.0000,0.7023,0.0164
emb_101tlrlr_tanh_M_relu_alpha,22.8978,45.0000,0.5072,0.0121
emb_101tlrlr_tanh_M_relu_standard,42.7704,86.0000,0.4930,0.0121
emb_30p_relu_M_relu_alpha,22.1456,47.0000,0.4672,0.0119
emb_30p_relu_M_relu_standard,64.1703,141.0000,0.4533,0.0118
emb_30p_relu_alpha,21.5026,53.0000,0.4019,0.0085
emb_30p_relu_standard,42.1313,106.0000,0.3973,0.0087
emb_30p_tanh_M_relu_alpha,22.1883,46.0000,0.4778,0.0121
emb_30p_tanh_M_relu_standard,49.4640,106.0000,0.4643,0.0119
emb_30p_tanh_alpha,14.2846,35.0000,0.4060,0.0087
emb_30p_tanh_standard,31.4631,78.0000,0.4021,0.0088
emb_41tlr_relu_alpha,21.9995,54.0000,0.4004,0.0085
emb_41tlr_relu_standard,41.5685,104.0000,0.3980,0.0087
emb_41tlr_tanh_alpha,14.3956,35.0000,0.4054,0.0086
emb_41tlr_tanh_standard,37.6567,93.0000,0.4034,0.0086
emb_77lr_relu_alpha,24.8118,60.0000,0.4096,0.0086
emb_77lr_relu_standard,44.7854,108.0000,0.4111,0.0086
emb_77lr_tanh_alpha,17.9824,43.0000,0.4115,0.0086
emb_77lr_tanh_standard,39.2010,95.0000,0.4094,0.0088
emb_95lrlr_relu_M_relu_alpha,19.4550,39.0000,0.4882,0.0120
emb_95lrlr_relu_M_relu_standard,90.9554,135.0000,0.6707,0.0166
emb_95lrlr_tanh_M_relu_alpha,22.6274,44.0000,0.5066,0.0122
emb_95lrlr_tanh_M_relu_standard,43.8629,89.0000,0.4919,0.0121
