,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,113.9682,18.0000,6.1405,0.1058
ctrl_30p_tanh,111.8571,18.0000,6.1325,0.1079
ctrl_59tlr_relu,139.8746,18.0000,7.4719,0.1484
ctrl_59tlr_tanh,138.0474,18.0000,7.5026,0.1406
ctrl_95lr_relu,169.0201,18.0000,8.9523,0.1633
ctrl_95lr_tanh,169.2910,18.0000,8.9667,0.1634
default,96.5772,20.0000,4.8289,0.0875
emb_111lrlr_relu_M_relu_alpha,276.2388,26.0000,10.5274,0.2595
emb_111lrlr_relu_M_relu_standard,1173.1955,92.0000,12.7079,0.2854
emb_111lrlr_tanh_M_relu_alpha,245.3308,22.0000,10.7980,0.2646
emb_111lrlr_tanh_M_relu_standard,476.5386,45.0000,10.5616,0.2553
emb_30p_relu_M_relu_alpha,181.7627,27.0000,6.7220,0.1369
emb_30p_relu_M_relu_standard,576.2161,87.0000,6.5598,0.1339
emb_30p_relu_alpha,156.8025,26.0000,6.0124,0.1083
emb_30p_relu_standard,562.2486,93.0000,6.0275,0.1082
emb_30p_tanh_M_relu_alpha,176.7986,26.0000,6.7378,0.1375
emb_30p_tanh_M_relu_standard,732.2480,99.0000,7.3815,0.1494
emb_30p_tanh_alpha,139.2245,22.0000,6.0850,0.1067
emb_30p_tanh_standard,248.9023,41.0000,6.0531,0.1081
emb_59tlr_relu_alpha,350.2707,51.0000,6.8412,0.1336
emb_59tlr_relu_standard,679.5674,98.0000,6.9062,0.1459
emb_59tlr_tanh_alpha,156.1627,22.0000,6.8734,0.1363
emb_59tlr_tanh_standard,270.8786,39.0000,6.9385,0.1460
emb_91tlrlr_relu_M_relu_alpha,222.8332,24.0000,9.2232,0.2155
emb_91tlrlr_relu_M_relu_standard,1001.5802,83.0000,12.0151,0.2515
emb_91tlrlr_tanh_M_relu_alpha,222.6788,23.0000,9.4676,0.2229
emb_91tlrlr_tanh_M_relu_standard,390.9512,42.0000,9.2205,0.2177
emb_95lr_relu_alpha,444.7875,55.0000,8.0113,0.1677
emb_95lr_relu_standard,464.2398,57.0000,8.0374,0.1779
emb_95lr_tanh_alpha,218.4830,27.0000,7.9391,0.1670
emb_95lr_tanh_standard,264.2647,32.0000,8.0963,0.1798
