,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_114tlr_relu,0.3353,0.0086,0.9024,0.0059,0.8457,0.0070,0.8457,0.0070
ctrl_114tlr_tanh,0.3231,0.0050,0.9051,0.0030,0.8515,0.0028,0.8515,0.0028
ctrl_30p_relu,0.3301,0.0060,0.9027,0.0029,0.8496,0.0034,0.8496,0.0034
ctrl_30p_tanh,0.3260,0.0060,0.9029,0.0040,0.8472,0.0043,0.8472,0.0043
ctrl_70lr_relu,0.3303,0.0075,0.9042,0.0035,0.8488,0.0021,0.8488,0.0021
ctrl_70lr_tanh,0.3253,0.0069,0.9032,0.0035,0.8485,0.0048,0.8485,0.0048
default,0.3344,0.0054,0.8972,0.0038,0.8442,0.0017,0.8442,0.0017
emb_111lrlr_relu_M_relu_alpha,0.3054,0.0038,0.9129,0.0020,0.8577,0.0032,0.8577,0.0032
emb_111lrlr_relu_M_relu_standard,0.3097,0.0062,0.9103,0.0030,0.8568,0.0014,0.8568,0.0014
emb_111lrlr_tanh_M_relu_alpha,0.3029,0.0047,0.9140,0.0028,0.8581,0.0025,0.8581,0.0025
emb_111lrlr_tanh_M_relu_standard,0.3076,0.0062,0.9115,0.0034,0.8566,0.0036,0.8566,0.0036
emb_114tlr_relu_alpha,0.3336,0.0104,0.8944,0.0071,0.8475,0.0044,0.8475,0.0044
emb_114tlr_relu_standard,0.3136,0.0061,0.9086,0.0030,0.8540,0.0033,0.8540,0.0033
emb_114tlr_tanh_alpha,0.3060,0.0054,0.9124,0.0035,0.8570,0.0034,0.8570,0.0034
emb_114tlr_tanh_standard,0.3137,0.0053,0.9082,0.0026,0.8525,0.0020,0.8525,0.0020
emb_128tlrlr_relu_M_relu_alpha,0.3026,0.0046,0.9141,0.0025,0.8584,0.0031,0.8584,0.0031
emb_128tlrlr_relu_M_relu_standard,0.3088,0.0054,0.9110,0.0033,0.8564,0.0030,0.8564,0.0030
emb_128tlrlr_tanh_M_relu_alpha,0.3026,0.0044,0.9139,0.0026,0.8585,0.0028,0.8585,0.0028
emb_128tlrlr_tanh_M_relu_standard,0.3090,0.0053,0.9113,0.0026,0.8573,0.0023,0.8573,0.0023
emb_30p_relu_M_relu_alpha,0.3071,0.0068,0.9117,0.0030,0.8571,0.0028,0.8571,0.0028
emb_30p_relu_M_relu_standard,0.3124,0.0054,0.9096,0.0022,0.8548,0.0020,0.8548,0.0020
emb_30p_relu_alpha,0.3096,0.0062,0.9099,0.0029,0.8546,0.0037,0.8546,0.0037
emb_30p_relu_standard,0.3118,0.0039,0.9101,0.0022,0.8541,0.0011,0.8541,0.0011
emb_30p_tanh_M_relu_alpha,0.3061,0.0067,0.9125,0.0029,0.8574,0.0039,0.8574,0.0039
emb_30p_tanh_M_relu_standard,0.3116,0.0050,0.9097,0.0028,0.8548,0.0028,0.8548,0.0028
emb_30p_tanh_alpha,0.3088,0.0034,0.9110,0.0023,0.8557,0.0032,0.8557,0.0032
emb_30p_tanh_standard,0.3149,0.0055,0.9085,0.0023,0.8537,0.0023,0.8537,0.0023
emb_70lr_relu_alpha,0.3202,0.0112,0.9027,0.0064,0.8510,0.0065,0.8510,0.0065
emb_70lr_relu_standard,0.3111,0.0048,0.9100,0.0020,0.8556,0.0018,0.8556,0.0018
emb_70lr_tanh_alpha,0.3064,0.0056,0.9118,0.0031,0.8570,0.0035,0.8570,0.0035
emb_70lr_tanh_standard,0.3143,0.0057,0.9083,0.0024,0.8533,0.0033,0.8533,0.0033
