,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_30p_relu,0.0483,0.0017,0.2197,0.0039,0.6955,0.0110
ctrl_30p_tanh,0.0486,0.0025,0.2204,0.0055,0.6935,0.0119
ctrl_41tlr_relu,0.0485,0.0018,0.2201,0.0041,0.6944,0.0101
ctrl_41tlr_tanh,0.0495,0.0015,0.2225,0.0034,0.6876,0.0129
ctrl_77lr_relu,0.0481,0.0028,0.2192,0.0064,0.6969,0.0148
ctrl_77lr_tanh,0.0493,0.0013,0.2219,0.0030,0.6892,0.0122
default,0.0483,0.0018,0.2198,0.0041,0.6953,0.0081
emb_101tlrlr_relu_M_relu_alpha,0.0454,0.0011,0.2130,0.0026,0.7136,0.0142
emb_101tlrlr_relu_M_relu_standard,0.0472,0.0009,0.2172,0.0022,0.7022,0.0141
emb_101tlrlr_tanh_M_relu_alpha,0.0448,0.0013,0.2116,0.0030,0.7175,0.0113
emb_101tlrlr_tanh_M_relu_standard,0.0473,0.0018,0.2174,0.0040,0.7017,0.0155
emb_30p_relu_M_relu_alpha,0.0481,0.0019,0.2192,0.0044,0.6965,0.0183
emb_30p_relu_M_relu_standard,0.0500,0.0015,0.2237,0.0033,0.6840,0.0185
emb_30p_relu_alpha,0.0520,0.0015,0.2280,0.0033,0.6718,0.0180
emb_30p_relu_standard,0.0495,0.0017,0.2223,0.0038,0.6881,0.0098
emb_30p_tanh_M_relu_alpha,0.0492,0.0042,0.2217,0.0095,0.6894,0.0261
emb_30p_tanh_M_relu_standard,0.0493,0.0019,0.2219,0.0043,0.6893,0.0118
emb_30p_tanh_alpha,0.0526,0.0047,0.2290,0.0101,0.6677,0.0371
emb_30p_tanh_standard,0.0508,0.0020,0.2254,0.0044,0.6796,0.0124
emb_41tlr_relu_alpha,0.0509,0.0019,0.2255,0.0043,0.6791,0.0124
emb_41tlr_relu_standard,0.0499,0.0024,0.2234,0.0053,0.6853,0.0080
emb_41tlr_tanh_alpha,0.0500,0.0025,0.2236,0.0055,0.6838,0.0243
emb_41tlr_tanh_standard,0.0510,0.0026,0.2258,0.0058,0.6781,0.0165
emb_77lr_relu_alpha,0.0508,0.0013,0.2255,0.0028,0.6792,0.0109
emb_77lr_relu_standard,0.0527,0.0028,0.2295,0.0061,0.6672,0.0241
emb_77lr_tanh_alpha,0.0457,0.0018,0.2137,0.0043,0.7120,0.0083
emb_77lr_tanh_standard,0.0535,0.0023,0.2313,0.0050,0.6625,0.0112
emb_95lrlr_relu_M_relu_alpha,0.0448,0.0010,0.2116,0.0023,0.7174,0.0110
emb_95lrlr_relu_M_relu_standard,0.0470,0.0018,0.2167,0.0041,0.7037,0.0121
emb_95lrlr_tanh_M_relu_alpha,0.0442,0.0015,0.2103,0.0035,0.7206,0.0167
emb_95lrlr_tanh_M_relu_standard,0.0469,0.0016,0.2166,0.0038,0.7042,0.0060
