,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_15tlr_relu,0.9633,0.0020,0.7853,0.0062,0.7767,0.0057,1.6447,0.0097
ctrl_15tlr_tanh,0.9643,0.0012,0.7885,0.0052,0.7767,0.0062,1.6374,0.0086
ctrl_30p_relu,0.9608,0.0018,0.7815,0.0048,0.7704,0.0059,1.6474,0.0055
ctrl_30p_tanh,0.9632,0.0025,0.7845,0.0094,0.7745,0.0087,1.6398,0.0086
ctrl_74lr_relu,0.9614,0.0029,0.7805,0.0027,0.7710,0.0077,1.6516,0.0041
ctrl_74lr_tanh,0.9643,0.0016,0.7903,0.0049,0.7817,0.0065,1.6380,0.0056
default,0.9541,0.0003,0.7574,0.0038,0.7316,0.0037,1.6784,0.0044
emb_111tlrlr_relu_M_relu_alpha,0.9677,0.0019,0.8017,0.0046,0.7952,0.0060,1.6174,0.0021
emb_111tlrlr_relu_M_relu_standard,0.9667,0.0025,0.8003,0.0086,0.7951,0.0107,1.6175,0.0093
emb_111tlrlr_tanh_M_relu_alpha,0.9691,0.0013,0.8105,0.0056,0.8074,0.0056,1.6038,0.0096
emb_111tlrlr_tanh_M_relu_standard,0.9667,0.0023,0.7980,0.0031,0.7927,0.0054,1.6230,0.0066
emb_13lrlr_relu_M_relu_alpha,0.9634,0.0014,0.7912,0.0029,0.7836,0.0045,1.6273,0.0019
emb_13lrlr_relu_M_relu_standard,0.9673,0.0009,0.8055,0.0051,0.7993,0.0057,1.6081,0.0057
emb_13lrlr_tanh_M_relu_alpha,0.9644,0.0014,0.8000,0.0041,0.7942,0.0045,1.6120,0.0035
emb_13lrlr_tanh_M_relu_standard,0.9671,0.0014,0.8040,0.0042,0.7996,0.0060,1.6131,0.0054
emb_15tlr_relu_alpha,0.9595,0.0021,0.7873,0.0051,0.7809,0.0052,1.6302,0.0029
emb_15tlr_relu_standard,0.9646,0.0010,0.7969,0.0035,0.7906,0.0027,1.6247,0.0047
emb_15tlr_tanh_alpha,0.9576,0.0041,0.7705,0.0112,0.7515,0.0139,1.6617,0.0125
emb_15tlr_tanh_standard,0.9669,0.0017,0.8017,0.0087,0.7945,0.0094,1.6193,0.0107
emb_30p_relu_M_relu_alpha,0.9635,0.0027,0.7918,0.0094,0.7834,0.0107,1.6303,0.0121
emb_30p_relu_M_relu_standard,0.9678,0.0013,0.8053,0.0026,0.8009,0.0044,1.6099,0.0022
emb_30p_relu_alpha,0.9606,0.0008,0.7883,0.0030,0.7828,0.0026,1.6310,0.0045
emb_30p_relu_standard,0.9663,0.0018,0.8015,0.0096,0.7963,0.0109,1.6182,0.0123
emb_30p_tanh_M_relu_alpha,0.9664,0.0019,0.8048,0.0035,0.8004,0.0040,1.6116,0.0052
emb_30p_tanh_M_relu_standard,0.9658,0.0013,0.8001,0.0046,0.7955,0.0039,1.6178,0.0065
emb_30p_tanh_alpha,0.9589,0.0021,0.7676,0.0052,0.7428,0.0063,1.6783,0.0066
emb_30p_tanh_standard,0.9686,0.0012,0.8037,0.0070,0.7949,0.0093,1.6160,0.0103
emb_74lr_relu_alpha,0.9624,0.0013,0.7906,0.0037,0.7832,0.0040,1.6313,0.0045
emb_74lr_relu_standard,0.9690,0.0011,0.8079,0.0034,0.8027,0.0033,1.6094,0.0049
emb_74lr_tanh_alpha,0.9589,0.0018,0.7613,0.0058,0.7294,0.0126,1.7137,0.0133
emb_74lr_tanh_standard,0.9695,0.0020,0.8057,0.0075,0.7973,0.0099,1.6172,0.0096
