,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_29lr_relu_alpha,0.0352,0.0068,0.1867,0.0180,0.7763,0.0511
emb_29lr_relu_standard,0.0365,0.0053,0.1907,0.0138,0.7696,0.0331
emb_29lr_tanh_alpha,0.0481,0.0035,0.2192,0.0081,0.6967,0.0200
emb_29lr_tanh_standard,0.0428,0.0012,0.2068,0.0030,0.7301,0.0118
emb_72tlr_relu_alpha,0.0463,0.0012,0.2152,0.0028,0.7077,0.0117
emb_72tlr_relu_standard,0.0449,0.0025,0.2118,0.0059,0.7171,0.0121
emb_72tlr_tanh_alpha,0.0459,0.0011,0.2141,0.0027,0.7106,0.0114
emb_72tlr_tanh_standard,0.0428,0.0006,0.2068,0.0014,0.7300,0.0116
