,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_124lrlr_relu_M_relu_alpha,0.5242,0.0120,0.8136,0.0095,0.7325,0.0071,0.7325,0.0071
emb_124lrlr_relu_M_relu_standard,0.5405,0.0164,0.7990,0.0155,0.7209,0.0137,0.7209,0.0137
emb_124lrlr_tanh_M_relu_alpha,0.5374,0.0030,0.8013,0.0026,0.7211,0.0027,0.7211,0.0027
emb_124lrlr_tanh_M_relu_standard,0.5473,0.0432,0.7885,0.0483,0.7134,0.0392,0.7134,0.0392
emb_55tlr_relu_alpha,0.5861,0.0078,0.7646,0.0059,0.6956,0.0047,0.6956,0.0047
emb_55tlr_relu_standard,0.6664,0.0592,0.7377,0.0301,0.6064,0.0552,0.6064,0.0552
emb_55tlr_tanh_alpha,0.5534,0.0039,0.7881,0.0048,0.7106,0.0038,0.7106,0.0038
emb_55tlr_tanh_standard,0.8330,0.1802,0.6883,0.0344,0.5473,0.0873,0.5473,0.0873
emb_70tlrlr_relu_M_relu_alpha,0.5451,0.0037,0.7954,0.0047,0.7169,0.0037,0.7169,0.0037
emb_70tlrlr_relu_M_relu_standard,0.5534,0.0109,0.7874,0.0098,0.7123,0.0075,0.7123,0.0075
emb_70tlrlr_tanh_M_relu_alpha,0.5268,0.0188,0.8112,0.0169,0.7308,0.0148,0.7308,0.0148
emb_70tlrlr_tanh_M_relu_standard,0.5400,0.0098,0.7999,0.0095,0.7210,0.0089,0.7210,0.0089
emb_77lr_relu_alpha,0.6216,0.0097,0.7542,0.0186,0.6847,0.0142,0.6847,0.0142
emb_77lr_relu_standard,0.6801,0.0229,0.5494,0.0846,0.5577,0.0583,0.5577,0.0583
emb_77lr_tanh_alpha,0.5655,0.0047,0.7955,0.0082,0.7162,0.0065,0.7162,0.0065
emb_77lr_tanh_standard,0.6452,0.0508,0.6638,0.0962,0.6299,0.0616,0.6299,0.0616
