,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_126tlr_relu_alpha,0.3459,0.0071,0.8528,0.0074,0.8582,0.0059,0.8582,0.0059
emb_126tlr_relu_standard,0.3403,0.0065,0.8617,0.0054,0.8613,0.0042,0.8613,0.0042
emb_126tlr_tanh_alpha,0.3515,0.0063,0.8492,0.0070,0.8565,0.0068,0.8565,0.0068
emb_126tlr_tanh_standard,0.3426,0.0082,0.8602,0.0061,0.8572,0.0045,0.8572,0.0045
emb_53lr_relu_alpha,0.3494,0.0079,0.8493,0.0074,0.8576,0.0077,0.8576,0.0077
emb_53lr_relu_standard,0.3358,0.0062,0.8644,0.0056,0.8622,0.0052,0.8622,0.0052
emb_53lr_tanh_alpha,0.3481,0.0061,0.8516,0.0056,0.8569,0.0066,0.8569,0.0066
emb_53lr_tanh_standard,0.3386,0.0086,0.8607,0.0091,0.8633,0.0034,0.8633,0.0034
