,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_46tlrlr_relu_M_relu_alpha,0.3779,0.0150,0.8376,0.0134,0.8182,0.0268,0.8182,0.0268
emb_46tlrlr_relu_M_relu_standard,0.3442,0.0079,0.8598,0.0061,0.8574,0.0081,0.8574,0.0081
emb_46tlrlr_tanh_M_relu_alpha,0.3553,0.0087,0.8488,0.0065,0.8497,0.0117,0.8497,0.0117
emb_46tlrlr_tanh_M_relu_standard,0.3441,0.0092,0.8614,0.0072,0.8579,0.0050,0.8579,0.0050
emb_82tlr_relu_alpha,0.3557,0.0058,0.8444,0.0061,0.8523,0.0076,0.8523,0.0076
emb_82tlr_relu_standard,0.3426,0.0059,0.8572,0.0048,0.8580,0.0070,0.8580,0.0070
emb_82tlr_tanh_alpha,0.3519,0.0074,0.8482,0.0082,0.8578,0.0057,0.8578,0.0057
emb_82tlr_tanh_standard,0.3490,0.0094,0.8502,0.0092,0.8576,0.0057,0.8576,0.0057
emb_88lrlr_relu_M_relu_alpha,0.3490,0.0074,0.8529,0.0088,0.8579,0.0058,0.8579,0.0058
emb_88lrlr_relu_M_relu_standard,0.3438,0.0086,0.8582,0.0070,0.8605,0.0044,0.8605,0.0044
emb_88lrlr_tanh_M_relu_alpha,0.3504,0.0052,0.8520,0.0074,0.8574,0.0045,0.8574,0.0045
emb_88lrlr_tanh_M_relu_standard,0.3463,0.0195,0.8520,0.0248,0.8592,0.0095,0.8592,0.0095
emb_91lr_relu_alpha,0.3530,0.0040,0.8458,0.0058,0.8546,0.0049,0.8546,0.0049
emb_91lr_relu_standard,0.3445,0.0066,0.8546,0.0063,0.8569,0.0059,0.8569,0.0059
emb_91lr_tanh_alpha,0.3529,0.0057,0.8495,0.0064,0.8555,0.0072,0.8555,0.0072
emb_91lr_tanh_standard,0.3471,0.0080,0.8521,0.0088,0.8562,0.0073,0.8562,0.0073
