,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_117tlrlr_relu_M_relu_alpha,0.0083,0.0009,0.0912,0.0052,0.8070,0.0218
emb_117tlrlr_relu_M_relu_standard,0.0106,0.0006,0.1027,0.0029,0.7563,0.0096
emb_117tlrlr_tanh_M_relu_alpha,0.0087,0.0017,0.0931,0.0090,0.7984,0.0368
emb_117tlrlr_tanh_M_relu_standard,0.0100,0.0009,0.0997,0.0044,0.7694,0.0261
emb_57tlr_relu_alpha,0.0110,0.0005,0.1049,0.0024,0.7454,0.0131
emb_57tlr_relu_standard,0.0104,0.0009,0.1019,0.0043,0.7591,0.0239
emb_57tlr_tanh_alpha,0.0092,0.0006,0.0956,0.0031,0.7886,0.0093
emb_57tlr_tanh_standard,0.0111,0.0005,0.1053,0.0025,0.7436,0.0110
emb_77lr_relu_alpha,0.0115,0.0004,0.1071,0.0021,0.7348,0.0086
emb_77lr_relu_standard,0.0104,0.0003,0.1018,0.0014,0.7602,0.0046
emb_77lr_tanh_alpha,0.0099,0.0003,0.0992,0.0013,0.7722,0.0067
emb_77lr_tanh_standard,0.0106,0.0002,0.1030,0.0012,0.7545,0.0072
emb_89lrlr_relu_M_relu_alpha,0.0081,0.0013,0.0894,0.0074,0.8133,0.0310
emb_89lrlr_relu_M_relu_standard,0.0093,0.0005,0.0962,0.0025,0.7861,0.0076
emb_89lrlr_tanh_M_relu_alpha,0.0073,0.0007,0.0851,0.0042,0.8319,0.0184
emb_89lrlr_tanh_M_relu_standard,0.0101,0.0008,0.1004,0.0042,0.7667,0.0189
