,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_69tlr_relu_alpha,0.0873,0.0108,0.2949,0.0177,0.6929,0.0409
emb_69tlr_relu_standard,0.0832,0.0038,0.2884,0.0066,0.7074,0.0153
emb_69tlr_tanh_alpha,0.0528,0.0029,0.2296,0.0064,0.8144,0.0123
emb_69tlr_tanh_standard,0.0858,0.0034,0.2928,0.0057,0.6983,0.0165
emb_71tlrlr_relu_M_relu_alpha,0.0459,0.0036,0.2142,0.0082,0.8386,0.0117
emb_71tlrlr_relu_M_relu_standard,0.0511,0.0011,0.2259,0.0025,0.8205,0.0049
emb_71tlrlr_tanh_M_relu_alpha,0.0510,0.0025,0.2257,0.0055,0.8209,0.0071
emb_71tlrlr_tanh_M_relu_standard,0.0524,0.0028,0.2288,0.0060,0.8160,0.0083
emb_78lr_relu_alpha,0.0538,0.0035,0.2318,0.0075,0.8108,0.0131
emb_78lr_relu_standard,0.0530,0.0019,0.2303,0.0042,0.8135,0.0074
emb_78lr_tanh_alpha,0.0496,0.0038,0.2225,0.0085,0.8256,0.0152
emb_78lr_tanh_standard,0.0530,0.0028,0.2301,0.0060,0.8138,0.0092
emb_93lrlr_relu_M_relu_alpha,0.0470,0.0021,0.2166,0.0048,0.8349,0.0078
emb_93lrlr_relu_M_relu_standard,0.0575,0.0020,0.2397,0.0041,0.7978,0.0090
emb_93lrlr_tanh_M_relu_alpha,0.0470,0.0016,0.2167,0.0037,0.8349,0.0050
emb_93lrlr_tanh_M_relu_standard,0.0574,0.0020,0.2396,0.0041,0.7981,0.0058
