,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_12lr_relu_alpha,0.8818,0.0395,0.6742,0.0582,0.6643,0.0609,1.3055,0.0384
emb_12lr_relu_standard,0.8228,0.0266,0.5490,0.0960,0.5234,0.1207,1.3900,0.0654
emb_12lr_tanh_alpha,0.8619,0.0395,0.6328,0.0657,0.6204,0.0697,1.3370,0.0492
emb_12lr_tanh_standard,0.8815,0.0389,0.6607,0.0504,0.6549,0.0517,1.3218,0.0323
emb_57tlr_relu_alpha,0.7934,0.0170,0.4900,0.0886,0.4726,0.0912,1.4278,0.0412
emb_57tlr_relu_standard,0.7971,0.0218,0.5357,0.0582,0.5129,0.0614,1.3901,0.0289
emb_57tlr_tanh_alpha,0.8093,0.0086,0.5580,0.0099,0.5361,0.0200,1.3896,0.0112
emb_57tlr_tanh_standard,0.8065,0.0157,0.5607,0.0239,0.5465,0.0298,1.3806,0.0167
