,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_28tlr_relu_alpha,0.0094,0.0015,0.0965,0.0084,0.7825,0.0376
emb_28tlr_relu_standard,0.0096,0.0004,0.0979,0.0022,0.7781,0.0167
emb_28tlr_tanh_alpha,0.0089,0.0021,0.0937,0.0106,0.7957,0.0418
emb_28tlr_tanh_standard,0.0094,0.0017,0.0966,0.0089,0.7814,0.0458
emb_55lr_relu_alpha,0.0108,0.0013,0.1036,0.0062,0.7506,0.0327
emb_55lr_relu_standard,0.0082,0.0009,0.0906,0.0051,0.8101,0.0166
emb_55lr_tanh_alpha,0.0089,0.0005,0.0942,0.0027,0.7945,0.0164
emb_55lr_tanh_standard,0.0096,0.0006,0.0979,0.0033,0.7779,0.0194
