,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_20tlr_relu_alpha,0.9966,0.0001,0.9487,0.0010,0.9487,0.0010,1.2368,0.0015
emb_20tlr_relu_standard,0.9972,0.0003,0.9487,0.0019,0.9487,0.0019,1.2418,0.0032
emb_20tlr_tanh_alpha,0.9970,0.0007,0.9562,0.0027,0.9562,0.0027,1.2261,0.0016
emb_20tlr_tanh_standard,0.9955,0.0025,0.9378,0.0160,0.9377,0.0160,1.2560,0.0228
emb_84lr_relu_alpha,0.9974,0.0006,0.9579,0.0027,0.9579,0.0027,1.2240,0.0057
emb_84lr_relu_standard,0.9909,0.0060,0.9185,0.0336,0.9184,0.0338,1.2810,0.0486
emb_84lr_tanh_alpha,0.9985,0.0003,0.9688,0.0021,0.9688,0.0021,1.2097,0.0025
emb_84lr_tanh_standard,0.9949,0.0030,0.9389,0.0220,0.9389,0.0221,1.2510,0.0334
