,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_128lr_relu_alpha,0.0643,0.0087,0.2531,0.0164,0.7737,0.0320
emb_128lr_relu_standard,0.0725,0.0235,0.2662,0.0408,0.7441,0.0877
emb_128lr_tanh_alpha,0.0427,0.0055,0.2061,0.0138,0.8503,0.0173
emb_128lr_tanh_standard,0.0704,0.0196,0.2629,0.0359,0.7514,0.0739
emb_48tlr_relu_alpha,0.0575,0.0033,0.2397,0.0070,0.7980,0.0107
emb_48tlr_relu_standard,0.0601,0.0101,0.2442,0.0201,0.7885,0.0377
emb_48tlr_tanh_alpha,0.0477,0.0030,0.2182,0.0068,0.8324,0.0115
emb_48tlr_tanh_standard,0.0671,0.0120,0.2581,0.0224,0.7635,0.0451
