,otto-epochs,churn-epochs,fb-comments-epochs,california-epochs,adult-epochs,house-epochs,higgs-small-epochs,santander-epochs,covtype-epochs,gesture-epochs
l-LR-a,53.0000,25.0000,118.0000,111.0000,94.0000,68.0000,39.0000,18.0000,147.0000,26.0000
l-LR-s,70.0000,42.0000,106.0000,78.0000,70.0000,77.0000,56.0000,32.0000,176.0000,25.0000
l-LT-a,30.0000,22.0000,79.0000,55.0000,30.0000,48.0000,27.0000,20.0000,71.0000,23.0000
l-LT-s,84.0000,51.0000,116.0000,81.0000,40.0000,81.0000,64.0000,35.0000,178.0000,27.0000
t-LR-a,34.0000,45.0000,110.0000,104.0000,75.0000,69.0000,47.0000,18.0000,78.0000,29.0000
t-LR-s,37.0000,51.0000,111.0000,110.0000,55.0000,54.0000,61.0000,28.0000,208.0000,26.0000
t-LT-a,22.0000,26.0000,83.0000,84.0000,42.0000,31.0000,25.0000,20.0000,55.0000,19.0000
t-LT-s,40.0000,53.0000,112.0000,84.0000,74.0000,74.0000,77.0000,31.0000,170.0000,26.0000
