embedding-model,HO-MSE,CH-AUC,GE-AUC,OT-AUC,SA-AUC,CA-MSE,FB-MSE,AD-AUC,HI-AUC,CO-AUC
l-LR-s,0.0365,0.8644,0.8228,0.9712,0.8895,0.0725,0.0082,0.9176,0.8237,0.9909
l-LR-a,0.0352,0.8493,0.8818,0.9707,0.8998,0.0643,0.0108,0.9062,0.8082,0.9974
l-LT-s,0.0428,0.8607,0.8815,0.9736,0.8827,0.0704,0.0096,0.9119,0.8045,0.9949
l-LT-a,0.0481,0.8516,0.8619,0.9736,0.9077,0.0427,0.0089,0.917,0.7941,0.9985
t-LR-s,0.0449,0.8617,0.7971,0.9685,0.8928,0.0601,0.0096,0.9124,0.8182,0.9972
t-LR-a,0.0463,0.8528,0.7934,0.9638,0.8756,0.0575,0.0094,0.911,0.7807,0.9966
t-LT-s,0.0428,0.8602,0.8065,0.9684,0.8849,0.0671,0.0094,0.9146,0.8198,0.9955
t-LT-a,0.0459,0.8492,0.8093,0.9643,0.8919,0.0477,0.0089,0.9135,0.7897,0.997
