embedding-model,HO-dim,HO-MSE-mean,HO-MSE-std,CH-dim,CH-AUC-mean,CH-AUC-std,GE-dim,GE-AUC-mean,GE-AUC-std,OT-dim,OT-AUC-mean,OT-AUC-std,SA-dim,SA-AUC-mean,SA-AUC-std,CA-dim,CA-MSE-mean,CA-MSE-std,FB-dim,FB-MSE-mean,FB-MSE-std,AD-dim,AD-AUC-mean,AD-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,CO-dim,CO-AUC-mean,CO-AUC-std
emb_lr_relu_alpha,29,0.0352,0.0068,53,0.8493,0.0074,12,0.8818,0.0395,69,0.9707,0.0083,50,0.8998,0.0146,128,0.0643,0.0087,55,0.0108,0.0013,105,0.9062,0.0097,62,0.8082,0.0274,84,0.9974,0.0006
emb_lr_tanh_alpha,29,0.0481,0.0035,53,0.8516,0.0056,12,0.8619,0.0395,69,0.9736,0.0135,50,0.9077,0.0094,128,0.0427,0.0055,55,0.0089,0.0005,105,0.917,0.0038,62,0.7941,0.0198,84,0.9985,0.0003
emb_tlr_relu_alpha,72,0.0463,0.0012,126,0.8528,0.0074,57,0.7934,0.017,71,0.9638,0.0017,114,0.8756,0.0035,48,0.0575,0.0033,28,0.0094,0.0015,124,0.911,0.0032,65,0.7807,0.0043,20,0.9966,0.0001
emb_tlr_tanh_alpha,72,0.0459,0.0011,126,0.8492,0.007,57,0.8093,0.0086,71,0.9643,0.0015,114,0.8919,0.004,48,0.0477,0.003,28,0.0089,0.0021,124,0.9135,0.0033,65,0.7897,0.0033,20,0.997,0.0007
emb_lr_relu_standard,29,0.0365,0.0053,53,0.8644,0.0056,12,0.8228,0.0266,69,0.9712,0.0048,50,0.8895,0.0079,128,0.0725,0.0235,55,0.0082,0.0009,105,0.9176,0.0052,62,0.8237,0.0077,84,0.9909,0.006
emb_lr_tanh_standard,29,0.0428,0.0012,53,0.8607,0.0091,12,0.8815,0.0389,69,0.9736,0.0047,50,0.8827,0.0093,128,0.0704,0.0196,55,0.0096,0.0006,105,0.9119,0.0052,62,0.8045,0.0468,84,0.9949,0.003
emb_tlr_relu_standard,72,0.0449,0.0025,126,0.8617,0.0054,57,0.7971,0.0218,71,0.9685,0.0011,114,0.8928,0.0046,48,0.0601,0.0101,28,0.0096,0.0004,124,0.9124,0.0033,65,0.8182,0.0029,20,0.9972,0.0003
emb_tlr_tanh_standard,72,0.0428,0.0006,126,0.8602,0.0061,57,0.8065,0.0157,71,0.9684,0.0011,114,0.8849,0.0063,48,0.0671,0.012,28,0.0094,0.0017,124,0.9146,0.005,65,0.8198,0.0026,20,0.9955,0.0025
