,otto-epochs,otto-tpe,churn-epochs,churn-tpe,fb-comments-epochs,fb-comments-tpe,california-epochs,california-tpe,adult-epochs,adult-tpe,house-epochs,house-tpe,higgs-small-epochs,higgs-small-tpe,santander-epochs,santander-tpe,covtype-epochs,covtype-tpe,gesture-epochs,gesture-tpe
l-LR-a,53.0000,1.5293,25.0000,0.1762,118.0000,2.7338,111.0000,0.2622,94.0000,1.1362,68.0000,0.9222,39.0000,3.0128,18.0000,9.7291,147.0000,23.5339,26.0000,0.5698
l-LR-s,70.0000,1.5388,42.0000,0.1726,106.0000,2.8098,78.0000,0.2702,70.0000,1.1458,77.0000,0.9050,56.0000,3.0331,32.0000,9.8924,176.0000,23.0333,25.0000,0.5682
l-LT-a,30.0000,1.5247,22.0000,0.1751,79.0000,2.7566,55.0000,0.2686,30.0000,1.1362,48.0000,0.9209,27.0000,3.0005,20.0000,9.7776,71.0000,23.4642,23.0000,0.5674
l-LT-s,84.0000,1.5180,51.0000,0.1749,116.0000,2.7641,81.0000,0.2652,40.0000,1.1492,81.0000,0.9212,64.0000,3.0159,35.0000,9.9121,178.0000,23.5717,27.0000,0.5754
t-LR-a,34.0000,3.1333,45.0000,0.4563,110.0000,10.2758,104.0000,0.4193,75.0000,2.9030,69.0000,0.3806,47.0000,2.1679,18.0000,8.9583,78.0000,18.9295,29.0000,0.1806
t-LR-s,37.0000,3.1339,51.0000,0.4474,111.0000,10.2939,110.0000,0.4242,55.0000,2.8852,54.0000,0.3904,61.0000,2.1762,28.0000,9.0510,208.0000,18.9891,26.0000,0.1804
t-LT-a,22.0000,3.1102,26.0000,0.4554,83.0000,10.3247,84.0000,0.4242,42.0000,2.8996,31.0000,0.3825,25.0000,2.2262,20.0000,9.1335,55.0000,19.2582,19.0000,0.1773
t-LT-s,40.0000,3.1118,53.0000,0.4528,112.0000,10.1796,84.0000,0.4230,74.0000,2.8895,74.0000,0.3858,77.0000,2.2154,31.0000,8.8400,170.0000,19.3521,26.0000,0.1794
