,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,2.1420,27.0000,0.0772,0.0018
ctrl_30p_tanh,2.2448,28.0000,0.0786,0.0018
ctrl_82tlr_relu,2.0653,25.0000,0.0800,0.0019
ctrl_82tlr_tanh,2.5142,31.0000,0.0804,0.0020
ctrl_91lr_relu,1.9757,24.0000,0.0795,0.0018
ctrl_91lr_tanh,2.2537,28.0000,0.0785,0.0018
default,2.5110,38.0000,0.0649,0.0014
emb_30p_relu_M_relu_alpha,3.1565,27.0000,0.1151,0.0039
emb_30p_relu_M_relu_standard,7.5032,67.0000,0.1108,0.0037
emb_30p_relu_alpha,3.6778,44.0000,0.0835,0.0023
emb_30p_relu_standard,7.1868,85.0000,0.0844,0.0024
emb_30p_tanh_M_relu_alpha,3.0455,26.0000,0.1151,0.0041
emb_30p_tanh_M_relu_standard,6.8199,50.0000,0.1360,0.0054
emb_30p_tanh_alpha,1.9074,22.0000,0.0857,0.0023
emb_30p_tanh_standard,6.6786,79.0000,0.0837,0.0025
emb_46tlrlr_relu_M_relu_alpha,3.2503,28.0000,0.1139,0.0038
emb_46tlrlr_relu_M_relu_standard,12.1792,67.0000,0.1798,0.0056
emb_46tlrlr_tanh_M_relu_alpha,3.1589,26.0000,0.1180,0.0038
emb_46tlrlr_tanh_M_relu_standard,4.3658,37.0000,0.1157,0.0039
emb_82tlr_relu_alpha,3.3669,39.0000,0.0852,0.0023
emb_82tlr_relu_standard,4.4316,51.0000,0.0864,0.0022
emb_82tlr_tanh_alpha,1.8448,21.0000,0.0841,0.0022
emb_82tlr_tanh_standard,4.2207,50.0000,0.0833,0.0023
emb_88lrlr_relu_M_relu_alpha,4.0085,34.0000,0.1156,0.0037
emb_88lrlr_relu_M_relu_standard,11.0320,60.0000,0.1814,0.0054
emb_88lrlr_tanh_M_relu_alpha,2.9565,24.0000,0.1230,0.0038
emb_88lrlr_tanh_M_relu_standard,4.9956,42.0000,0.1187,0.0038
emb_91lr_relu_alpha,3.7082,43.0000,0.0855,0.0023
emb_91lr_relu_standard,5.5715,64.0000,0.0868,0.0023
emb_91lr_tanh_alpha,1.9553,23.0000,0.0836,0.0022
emb_91lr_tanh_standard,4.1733,50.0000,0.0829,0.0023
